INFO 2023-04-10 02:31:56,888 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2023-04-10 02:31:56,896 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2023-04-10 02:31:56,917 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2023-04-10 02:31:56,931 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2023-04-10 02:31:56,954 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2023-04-10 02:31:56,979 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2023-04-10 02:31:57,016 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2023-04-10 02:31:57,038 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2023-04-10 02:31:57,061 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2023-04-10 02:31:57,087 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2023-04-10 02:31:57,117 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2023-04-10 02:31:57,148 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2023-04-10 02:31:57,178 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2023-04-10 02:32:25,331 "GET /admin HTTP/1.1" 301 0
INFO 2023-04-10 02:32:25,485 "GET /admin/ HTTP/1.1" 200 3580
INFO 2023-04-10 02:32:25,595 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3763
INFO 2023-04-10 02:32:25,616 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 796
INFO 2023-04-10 02:32:25,648 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18854
INFO 2023-04-10 02:32:25,660 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 380
